Actors,x,y
Adrianne_Palicki,0.5842354034670554,0.5415955845078615
Clu_Gulager,0.22898777757671893,0.8504816139145824
Miriam_Byrd_Nethery,0.2312375523204136,0.8586877232556445
Jay_Grdina,-0.14583986864597567,0.2524339660470588
Jenna_Jameson,-0.1377749129108662,0.24834133143324685
Kevin_Hagen,0.6399260440525862,-0.04217262448833768
Susanne_Cramer,0.6326132265737592,-0.036279181094249845
Raymond_Hackett,-0.7476321085811138,0.2695725371671372
Blanche_Sweet,-0.7606252885548251,0.27445252890788074
Brad_Armstrong_(director),-0.1285446842848131,0.24962598356919713
Bill_Hader,-0.7689070509122431,-0.29958075196409284
Maggie_Carey,-0.7573453176213869,-0.2953529730029208
Helmuth_Lohner,0.6431179083484273,-0.03606597720760786
#cite_note-F-2,0.6390074892758847,-0.030190380852546026
